id;name;alternate_names;house;ancestry;species;patronus;hogwartsStaff;hogwartsStudent;actorName;alive;alternate_actors;dateOfBirth;yearOfBirth;eyeColour;gender;hairColour;wizard
861c4cde-2f0f-4796-8d8f-9492e74b2573;Luna Lovegood;['Loony Lovegood'];Ravenclaw;pure-blood;human;hare;FALSO;VERDADEIRO;Evanna Lynch;VERDADEIRO;[];13-02-1981;1981;silver;female;blonde;VERDADEIRO
1cd6dc64-01a9-4379-9cfd-1a7167ba1bb1;Ginny Weasley;[];Gryffindor;pure-blood;human;horse;FALSO;VERDADEIRO;Bonnie Wright;VERDADEIRO;[];11-08-1981;1981;brown;female;red;VERDADEIRO
2cfd2d4b-5d1e-4dc5-8837-37a97c7e2f2f;Sirius Black;['Padfoot', 'Snuffles'];Gryffindor;pure-blood;human;hare;FALSO;FALSO;Gary Oldman;FALSO;['James Walters', 'Rohan Gotobed'];03-11-1959;1959;grey;male;black;VERDADEIRO
b8f9095b-9de6-4d7d-83e0-4391af8f22e4;Remus Lupin;['Professor Lupin', 'Moony', 'Remus John Lupin'];Gryffindor;half-blood;werewolf;wolf;VERDADEIRO;FALSO;David Thewlis;FALSO;[];10-03-1960;1960;green;male;brown;VERDADEIRO
dd925874-e800-4eb4-9f0d-4d0fed15634b;Arthur Weasley;[];Gryffindor;pure-blood;human;weasel;FALSO;FALSO;Mark Williams;VERDADEIRO;[];06-02-1950;1950;blue;male;red;VERDADEIRO
6afb1960-febd-418d-b604-e50c1b59459b;Bellatrix Lestrange;['Bella'];Slytherin;pure-blood;human;;FALSO;FALSO;Helena Bonham Carter;FALSO;[];06-02-1950;1951;brown;female;black;VERDADEIRO
efa802c8-ae18-4ae1-a524-49df21d05939;Lord Voldemort;['Tom Riddle', 'Tom Marvolo Riddle', 'You-Know-Who', 'He Who Must Not Be Named', 'the Dark Lord', 'the Heir of Slytherin'];Slytherin;half-blood;human;;FALSO;FALSO;Ralph Fiennes;FALSO;[];31-12-1926;1926;Scarlet;male;bald;VERDADEIRO
2fb675cd-5505-4c8e-a54e-579e73bf4174;Horace Slughorn;[];Slytherin;pure-blood;human;;VERDADEIRO;FALSO;Jim Broadbent;VERDADEIRO;[];31-12-1926;1926;green;male;blonde;VERDADEIRO
106cf68d-a86a-415e-ad75-6ad9a4ae24e4;Kingsley Shacklebolt;[];Slytherin;pure-blood;human;lynx;FALSO;FALSO;George Harris;VERDADEIRO;[];31-12-1926;1926;brown;male;brown;VERDADEIRO
d58e7249-19d1-40bd-a43f-1da0497fe8aa;Dolores Umbridge;[];Slytherin;half-blood;human;persian cat;VERDADEIRO;FALSO;Imelda Staunton;VERDADEIRO;[];31-12-1926;1926;brown;female;grey;VERDADEIRO
43403619-70cb-4a0c-b70a-6d5cae20e602;Lucius Malfoy;[];Slytherin;pure-blood;human;;FALSO;FALSO;Jason Isaacs;VERDADEIRO;[];31-12-1926;1954;grey;male;blonde;VERDADEIRO
04f9eb45-d843-4e29-a7d3-0bd49ed87f85;Vincent Crabbe;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;Jamie Waylett;FALSO;[];31-12-1926;1954;black;male;black;VERDADEIRO
a31ddc78-af12-4978-929c-3cc8a00a833e;Gregory Goyle;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;Josh Herdman;VERDADEIRO;[];31-12-1926;1954;black;male;brown;VERDADEIRO
b0620914-858d-46fc-8e6d-033c565e138b;Mrs Norris;[];Slytherin;pure-blood;cat;;VERDADEIRO;FALSO;Maxime, Alanis and Tommy the cats;VERDADEIRO;[];31-12-1926;1954;yellow;female;brown;FALSO
2b82cfb8-0440-4a57-a030-6d75a40c0d98;Argus Filch;[];Slytherin;squib;human;;VERDADEIRO;FALSO;David Bradley;VERDADEIRO;[];31-12-1926;1954;yellow;male;grey;FALSO
b4ffe89b-8796-42ad-a6d9-5af1a369af7e;Vernon Dursley;[];Slytherin;muggle;human;;FALSO;FALSO;Richard Griffiths;VERDADEIRO;[];31-12-1926;1954;yellow;male;grey;FALSO
fed624df-56d9-495e-9ad4-ea77000957e8;Petunia Dursley;[];Slytherin;muggle;human;;FALSO;FALSO;Fiona Shaw;VERDADEIRO;[];31-12-1926;1954;yellow;female;blonde;FALSO
7614cf6e-689e-47ac-a976-b1e9997637e9;Dudley Dursley;[];Slytherin;muggle;human;;FALSO;FALSO;Harry Melling;VERDADEIRO;[];23-6-1980;1980;blue;male;blond;FALSO
41cd0bbe-a943-431b-9bde-bb2cad3491a1;Lily Potter;[];Gryffindor;muggleborn;human;;FALSO;FALSO;Geraldine Somerville;FALSO;[];30-01-1960;1960;green;female;blond;VERDADEIRO
34eb6182-00cf-4c95-ae73-7d2f34066d18;James Potter;['Prongs'];Gryffindor;pure-blood;human;stag;FALSO;FALSO;Adrian Rawlins;FALSO;[];27-03-1960;1960;green;male;black;VERDADEIRO
b415c867-1cff-455e-b194-748662ac2cca;Albus Dumbledore;['Professor Dumbledore'];Gryffindor;half-blood;human;Phoenix;VERDADEIRO;FALSO;Richard Harris;FALSO;['Michael Gambon'];27-03-1960;1881;blue;male;silver;VERDADEIRO
e9457467-d10a-4893-afa9-19f9602b218a;Madam Pomfrey;['Poppy Pomfrey'];Gryffindor;half-blood;human;;VERDADEIRO;FALSO;Gemma Jones;VERDADEIRO;[];27-03-1960;1881;blue;female;silver;VERDADEIRO
63c6fcff-a1a4-4caf-a5ac-e2197c12cb1e;Mrs Figg;['Arabella Doreen Figg'];Gryffindor;squib;human;;FALSO;FALSO;Kathryn Hunter;VERDADEIRO;[];27-03-1960;1980;blue;female;silver;FALSO
162b34f3-aaab-46ae-980b-f2a5ebceb684;Marge Dursley;['Marjorie Eileen Dursley', 'Aunt Marge', 'Auntie Marge', 'Margie'];Gryffindor;muggle;human;;FALSO;FALSO;Pam Ferris;VERDADEIRO;[];27-03-1960;1979;blue;female;silver;FALSO
d70f60ae-81ea-4230-905d-cb52c801c1fb;Yvonne;[];Gryffindor;muggle;human;;FALSO;FALSO;;VERDADEIRO;[];27-03-1960;1980;blue;female;silver;FALSO
57fa4f38-a1ff-4671-890d-49af38b2a619;Piers Polkiss;[];Gryffindor;muggle;human;;FALSO;FALSO;Jason Boyd;VERDADEIRO;[];27-03-1960;1980;blue;male;silver;FALSO
a18ef59a-89cf-4afd-bf87-83273990d911;Dennis;[];Gryffindor;muggle;human;;FALSO;FALSO;Christopher Rithin;VERDADEIRO;[];27-03-1960;1925;blue;male;silver;FALSO
ef33d1e6-427c-465e-9a9f-037442b376d3;Malcolm;[];Gryffindor;muggle;human;;FALSO;FALSO;Richard Macklin;VERDADEIRO;[];27-03-1960;1977;blue;male;silver;FALSO
71a95495-134d-4af7-8473-5f3495979845;Gordon;[];Gryffindor;muggle;human;;FALSO;FALSO;;VERDADEIRO;[];27-03-1960;1979;blue;male;silver;FALSO
933787c2-51e3-4eac-8a85-ab332cac0456;Miranda Gaushawk;[];Gryffindor;muggle;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1960;blue;female;silver;VERDADEIRO
8b5bbdda-6a45-409c-99b7-0c64e69ed611;Bathilda Bagshot;[];Gryffindor;muggle;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1928;blue;female;silver;VERDADEIRO
8674a5d1-b2ba-4025-ac6d-4d1aa3f49ad9;Adalbert Waffling;[];Gryffindor;muggle;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1980;blue;male;silver;VERDADEIRO
cd98821f-04a8-4df7-9098-64ab117ede00;Emeric Switch;[];Gryffindor;muggle;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1981;blue;male;silver;VERDADEIRO
19fa7e4e-dadd-46a8-912e-51a1f622ce0e;Phyllida Spore;['Dame Phyllida Spore'];Gryffindor;muggle;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1981;blue;female;silver;VERDADEIRO
f859a0ab-0401-4791-b8f5-d3b2bc9668ca;Arsenius Jigger;[];Gryffindor;muggle;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1959;blue;male;silver;VERDADEIRO
2a376401-4821-4aec-94d7-9b3da2c77d85;Newt Scamander;['Newton Artemis Fido Scamander'];Hufflepuff;muggle;human;;FALSO;FALSO;Eddie Redmayne;VERDADEIRO;['Joshua Shea', 'Callum Turner'];24-02-1897;1960;hazel;male;brown;VERDADEIRO
aa83dd83-beb5-43ef-b4a1-9bb2389edc44;Quentin Trimble;[];Hufflepuff;muggle;human;;FALSO;FALSO;;FALSO;[];24-02-1897;1950;hazel;male;brown;VERDADEIRO
1e705d10-aa89-4e9c-94be-478304d55dbb;Tom;[];Hufflepuff;muggle;human;;FALSO;FALSO;Derek Deadman;VERDADEIRO;['Jim Tavare'];24-02-1897;1951;hazel;male;brown;VERDADEIRO
43b2880a-df86-4f55-a599-9cd0548833f4;Doris Crockford;[];Hufflepuff;muggle;human;;FALSO;FALSO;Nina Young;VERDADEIRO;[];31-07-1980;1926;hazel;female;brown;VERDADEIRO
ba19be27-178b-4594-95b7-51ba0e3ba1dd;Quirinus Quirrel;['Professor Quirrel'];Hufflepuff;muggle;human;;VERDADEIRO;FALSO;Ian Hart;FALSO;[];19-09-1979;1926;hazel;male;brown;VERDADEIRO
4bd76a78-86d8-40f6-aed4-74fe51783594;Griphook;[];Hufflepuff;muggle;goblin;;FALSO;FALSO;Verne Troyer;FALSO;['Warwick Davis'];01-03-1980;1926;hazel;male;brown;FALSO
7b26f1db-7cc5-4b66-9f2f-6bbb04d628b2;Madam Malkin;[];Hufflepuff;muggle;human;;FALSO;FALSO;;VERDADEIRO;[];05-06-1980;1926;hazel;female;brown;VERDADEIRO
ba05fee0-483c-42ed-a8b6-b7a82b6e800a;Vindictus Viridian;[];Hufflepuff;muggle;human;;FALSO;FALSO;;FALSO;[];04-10-1925;1954;hazel;male;brown;VERDADEIRO
d59691a4-f830-4eb0-a819-a0fb00b7e80f;Garrick Ollivander;[];Hufflepuff;muggle;human;;FALSO;FALSO;John Hurt;VERDADEIRO;[];04-10-1925;1954;pale, silvery;male;brown;VERDADEIRO
6b59be3f-e527-422d-959d-79fcdb3b24eb;Hedwig;[];Hufflepuff;muggle;owl;;FALSO;FALSO;Gizmo;FALSO;['Ook', 'Sprout', 'Kasper', 'Swoops', 'Oh Oh', 'Elmo', 'Bandit'];07-04-1979;1954;amber;female;brown;FALSO
79e02eb5-17c0-4dd9-bf55-aec03434812c;Molly Weasley;['Molly Prewett', 'Mollywabbles'];Gryffindor;pure-blood;human;;FALSO;FALSO;Julie Walters;VERDADEIRO;[];09-01-1960;1954;amber;female;red;VERDADEIRO
8f3b8796-c7b9-442e-ac02-113d48306fc7;Percy Weasley;['Perce', 'Percy Ignatius Weasley', 'Weatherby'];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;Chris Rankin;VERDADEIRO;[];06-12-1928;1954;amber;male;red;VERDADEIRO
28741184-263c-4000-b011-ca7c60466ef4;Fred Weasley;[];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;James Phelps;FALSO;[];30-07-1980;1954;amber;male;red;VERDADEIRO
2a0615de-8aa4-41e7-9504-dd875f5f3f01;George Weasley;[];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;Oliver Phelps;VERDADEIRO;[];13-02-1981;1954;amber;male;red;VERDADEIRO
979ab773-944f-4ff8-88be-943a4bc2c18a;Lee Jordan;[];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;Luke Youngblood;VERDADEIRO;[];11-08-1981;1980;amber;male;red;VERDADEIRO
cd09be4a-1581-4a7e-b4e7-4505e66a68a5;Bill Weasley;['William Arthur Weasley'];Gryffindor;pure-blood;human;;FALSO;FALSO;Richard Fish;VERDADEIRO;['Domhnall Gleeson'];03-11-1959;1960;amber;male;red;VERDADEIRO
01c62c63-f481-41c0-ab06-189caf3a6a61;Charlie Weasley;['Charles Weasley'];Gryffindor;pure-blood;human;;FALSO;FALSO;Alex Crockford;VERDADEIRO;[];10-03-1960;1960;amber;male;red;VERDADEIRO
2772994f-6a19-4d01-9993-5e10cc6f69a5;Fat Friar;[];Hufflepuff;pure-blood;ghost;;FALSO;FALSO;Simon Fisher-Becker;FALSO;[];06-02-1950;1881;amber;male;red;VERDADEIRO
1ec8a085-d88c-4ba7-a7c6-a0f93156db07;Peeves;[];Hufflepuff;pure-blood;poltergeist;;FALSO;FALSO;;FALSO;[];06-02-1950;1881;amber;male;red;VERDADEIRO
0af82694-e24f-45ec-a8d7-5bb1199ce631;Hannah Abbott;[];Hufflepuff;half-blood;human;;FALSO;VERDADEIRO;Charlotte Skeoch;VERDADEIRO;['Louisa Warren'];31-12-1926;1980;amber;female;blonde;VERDADEIRO
7cc5e694-850d-4c44-830b-7154e23bb5c3;Susan Bones;[];Hufflepuff;half-blood;human;;FALSO;VERDADEIRO;Eleanor Columbus;VERDADEIRO;['Emma Jayne-Corboz'];31-12-1926;1979;amber;female;blonde;VERDADEIRO
9055a7b1-6ac9-4363-977c-4dec78572fad;Terry Boot;[];Ravenclaw;half-blood;human;;FALSO;VERDADEIRO;Kevin Lee Yi;VERDADEIRO;[];31-12-1926;1980;amber;male;blonde;VERDADEIRO
c5acae3e-1a05-4f1d-bb83-3f8c7639d84e;Mandy Brocklehurst;[];Ravenclaw;half-blood;human;;FALSO;VERDADEIRO;Christina Petrou;VERDADEIRO;[];31-12-1926;1980;amber;female;blonde;VERDADEIRO
f94086b8-03ae-4457-ba2c-e624d0980869;Lavender Brown;[];Gryffindor;half-blood;human;;FALSO;VERDADEIRO;Kathleen Cauley;VERDADEIRO;['Jennifer Smith', 'Jessie Cave'];31-12-1926;1925;amber;female;blonde;VERDADEIRO
14aca981-2b60-413e-8f8e-3534961b534b;Millicent Bulstrode;[];Slytherin;half-blood;human;;FALSO;VERDADEIRO;Helen Stuart;VERDADEIRO;[];31-12-1926;1977;amber;female;blonde;VERDADEIRO
34155375-c8c0-415e-873a-b6483f0cbf17;Justin Finch-Fletchley;[];Hufflepuff;muggleborn;human;;FALSO;VERDADEIRO;Edward Randell;VERDADEIRO;[];31-12-1926;1979;amber;male;blonde;VERDADEIRO
1413e1b3-2903-4a47-a2d5-e8abc5ce8014;Seamus Finnigan;['O Flaherty', 'Seamus Finnegan'];Gryffindor;half-blood;human;;FALSO;VERDADEIRO;Devon Murray;VERDADEIRO;[];31-12-1926;1960;amber;male;sandy;VERDADEIRO
ec714982-e604-40d4-bd4c-dc5155506957;Morag MacDougal;[];Gryffindor;half-blood;human;;FALSO;VERDADEIRO;;VERDADEIRO;[];31-12-1926;1928;amber;female;sandy;VERDADEIRO
e32dd37c-91cd-4950-8ef2-e2ba1b87bd75;Lily Moon;[];Gryffindor;half-blood;human;;FALSO;VERDADEIRO;;VERDADEIRO;[];31-12-1926;1980;amber;female;sandy;VERDADEIRO
47aa7511-59b9-4760-9bd7-822a1103177b;Theodore Nott;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;;VERDADEIRO;[];31-12-1926;1981;amber;male;sandy;VERDADEIRO
2899e63f-ed02-4152-8ace-0270a068a70d;Pansy Parkinson;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;Genevieve Gaunt;VERDADEIRO;['Lauren Shotton', 'Scarlett Byrne'];23-6-1980;1981;amber;female;sandy;VERDADEIRO
0201cf73-8a86-4358-b232-2abaa23f09af;Parvati Patil;[];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;Sitara Shah;VERDADEIRO;['Shefali Chowdhury'];30-01-1960;1959;amber;female;sandy;VERDADEIRO
69c18f6a-cd97-4218-9f2f-740393e6eb1f;Padma Patil;[];Ravenclaw;pure-blood;human;;FALSO;VERDADEIRO;Sharon Sandhu;VERDADEIRO;['Afshan Azad'];27-03-1960;1960;amber;female;sandy;VERDADEIRO
3d629315-1dbb-4e1e-840d-ffbf45bd5894;Sally-Anne Perks;[];Ravenclaw;pure-blood;human;;FALSO;VERDADEIRO;;VERDADEIRO;[];27-03-1960;1950;amber;female;sandy;VERDADEIRO
eaea5eb3-48a3-41c6-9ea5-c695299bab16;Lisa Turpin;[];Ravenclaw;pure-blood;human;;FALSO;VERDADEIRO;;VERDADEIRO;[];27-03-1960;1951;amber;female;sandy;VERDADEIRO
1fab149b-52b1-4ffe-be52-4eda25d98f5d;Blaise Zabini;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;Louis Cordice;VERDADEIRO;[];27-03-1960;1926;amber;male;sandy;VERDADEIRO
11b5ca88-64ad-41a4-9f36-317b66c290af;Nearly Headless Nick;['Sir Nicholas de Mimsy-Porpington', 'Sir Nicholas', 'Nick'];Gryffindor;pure-blood;ghost;;FALSO;FALSO;John Cleese;FALSO;[];27-03-1960;1926;amber;male;sandy;VERDADEIRO
9a33fe44-b950-4877-a0cb-902a52c72e8b;Bloody Baron;[];Slytherin;pure-blood;ghost;;FALSO;FALSO;Terence Bayler;FALSO;[];27-03-1960;1926;amber;male;sandy;VERDADEIRO
8392b326-31fd-43de-ad5c-0cfcf81b82ee;Fat Lady;[];Slytherin;pure-blood;human;;FALSO;FALSO;Elizabeth Spriggs;FALSO;['Dawn French'];27-03-1960;1926;amber;female;sandy;VERDADEIRO
e8694719-a975-48fb-9523-f4cade1c38aa;Pomona Sprout;['Professor Sprout'];Hufflepuff;pure-blood;human;;VERDADEIRO;FALSO;Miriam Margolyes;VERDADEIRO;[];27-03-1960;1954;amber;female;sandy;VERDADEIRO
6ea188f3-d95c-407c-ab00-a0bec8678a71;Cuthbert Binns;['Professor Binns'];Hufflepuff;pure-blood;ghost;;VERDADEIRO;FALSO;;FALSO;[];27-03-1960;1954;amber;male;sandy;VERDADEIRO
c1f90a1e-33eb-4e60-8dac-15ea5855a996;Emeric the Evil;[];Hufflepuff;pure-blood;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1954;amber;male;sandy;VERDADEIRO
4cc138eb-6882-4b78-bf45-28f0041590fb;Uric the Oddball;[];Hufflepuff;pure-blood;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1954;amber;male;sandy;VERDADEIRO
a61e0783-7914-4f8d-a800-c409c06315cf;Filius Flitwick;['Professor Flitwick'];Ravenclaw;pure-blood;human;;VERDADEIRO;FALSO;Warwick Davis;VERDADEIRO;[];27-03-1960;1954;amber;male;sandy;VERDADEIRO
0a81c4f9-b80d-45a7-a4fd-9191453815a1;Madam Hooch;['Rolanda Hooch'];Ravenclaw;pure-blood;human;;VERDADEIRO;FALSO;Zoë Wanamaker;VERDADEIRO;[];27-03-1960;1954;yellow;female;grey;VERDADEIRO
09396e81-d317-499f-b330-25b90ba17d20;Oliver Wood;[];Ravenclaw;pure-blood;human;;FALSO;VERDADEIRO;Sean Biggerstaff;VERDADEIRO;[];27-03-1960;1954;yellow;male;grey;VERDADEIRO
2ae8e574-9154-459c-b92e-4b0d1267e573;Gregory the Smarmy;[];Ravenclaw;pure-blood;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1980;yellow;male;grey;VERDADEIRO
0112e668-f94d-4d5f-8fa8-99c45280e9a8;Wizard Baruffio;[];Ravenclaw;pure-blood;human;;FALSO;FALSO;;FALSO;[];27-03-1960;1960;yellow;male;grey;VERDADEIRO
b634f0a1-7b48-49b6-b039-27f947ee76fd;Angelina Johnson;[];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;Danielle Tabor;VERDADEIRO;['Tiana Benjamin'];24-02-1897;1960;yellow;female;grey;VERDADEIRO
0e42ecbe-27b2-4940-9b03-00182a92c415;Marcus Flint;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;Jamie Yeates;VERDADEIRO;[];24-02-1897;1881;yellow;male;grey;VERDADEIRO
c29cd5f9-d2c3-4be9-ba1c-04169cdf511b;Alicia Spinet;[];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;Leilah Sutherland;VERDADEIRO;['Rochelle Douglas'];24-02-1897;1881;yellow;female;grey;VERDADEIRO
2832bea8-7aad-4160-a748-442f5770d586;Katie Bell;[];Gryffindor;pure-blood;human;;FALSO;VERDADEIRO;Emily Dale;VERDADEIRO;['Georgina Leonidas'];31-07-1980;1980;yellow;female;grey;VERDADEIRO
b78e6677-8bb4-4eb7-97cb-2f86677e27ea;Adrian Pucey;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;Scot Fearn;VERDADEIRO;[];19-09-1979;1979;yellow;male;grey;VERDADEIRO
c8aed011-ab8f-46df-9e8d-dde938256ea9;Miles Bletchley;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;David Churchyard;VERDADEIRO;['Amy Puglia'];01-03-1980;1980;yellow;male;grey;VERDADEIRO
9ac09267-92ea-444a-a395-28f3b0f6fe6f;Terrence Higgs;[];Slytherin;pure-blood;human;;FALSO;VERDADEIRO;Will Theakston;VERDADEIRO;[];05-06-1980;1980;yellow;male;grey;VERDADEIRO
40e0acaa-30cd-4923-8408-9a96a484e892;Fluffy;[];Slytherin;pure-blood;three-headed dog;;FALSO;FALSO;;VERDADEIRO;[];04-10-1925;1925;yellow;male;grey;FALSO
b93b8e74-c283-4547-8a69-83ee51657f13;Nicolas Flamel;[];Slytherin;pure-blood;human;;FALSO;FALSO;Brontis Jodorowsky;FALSO;[];04-10-1925;1977;yellow;male;grey;VERDADEIRO
f6901cd9-a7b2-49d0-af85-73678536b4df;Gellert Grindelwald;[];Slytherin;pure-blood;human;;FALSO;FALSO;Jamie Campbell Bower;FALSO;['Michael Byrne', 'Johnny Depp', 'Mads Mikkelsen'];07-04-1979;1979;blue;male;blond;VERDADEIRO
5e4d5e25-5393-435b-81c8-556fa78af659;Norberta;[];Slytherin;pure-blood;dragon;;FALSO;FALSO;;VERDADEIRO;[];09-01-1960;1960;orange;female;blond;FALSO
f94e870e-2c3b-4e17-adea-088660b6de78;Ronan;[];Slytherin;pure-blood;centaur;;FALSO;FALSO;;VERDADEIRO;[];06-12-1928;1928;orange;male;red;FALSO
484d89aa-5d22-4d4d-9e07-4913cf8d4d20;Bane;[];Slytherin;pure-blood;centaur;;FALSO;FALSO;Jason Piper;VERDADEIRO;['Nuno Silva'];30-07-1980;1980;orange;male;red;FALSO
68eb4a0b-6c49-44e9-aec8-5af947d22141;Firenze;['Professor Firenze'];Slytherin;pure-blood;centaur;;VERDADEIRO;FALSO;Ray Fearon;VERDADEIRO;[];13-02-1981;1981;blue;male;blond;FALSO
c8f7f244-97ac-449e-922d-a30f063a1ad0;Elfrick the Eager;[];Slytherin;pure-blood;goblin;;FALSO;FALSO;;FALSO;[];11-08-1981;1981;blue;male;blond;FALSO
bd687632-3bec-4071-952d-c6cb813a41e7;Perenelle Flamel;[];Slytherin;pure-blood;human;;FALSO;FALSO;;FALSO;[];03-11-1959;1959;blue;female;blond;VERDADEIRO
4c1adea5-3421-49a9-8e3e-a3ff0fe7ce60;Bertie Bott;[];Slytherin;pure-blood;human;;FALSO;FALSO;;VERDADEIRO;[];10-03-1960;1960;blue;male;blond;VERDADEIRO
0d8ea37f-35c4-4c7d-9dd2-8ccd96b0a2b3;Dobby;[];Slytherin;pure-blood;house-elf;;FALSO;FALSO;Toby Jones;FALSO;[];06-02-1950;1950;green;male;blond;FALSO
cd022893-b7ea-4bd8-a4fb-c9933c695813;Mr Mason;[];Slytherin;muggle;human;;FALSO;FALSO;Jim Norton;VERDADEIRO;[];06-02-1950;1951;green;male;blond;FALSO
1c520134-9f75-48a9-b3c7-6c31ffa86178;Mrs Mason;[];Slytherin;muggle;human;;FALSO;FALSO;Veronica Clifford;VERDADEIRO;[];31-12-1926;1926;green;female;blond;FALSO
e3f5217d-52b5-4d7b-9a40-faed18a98d3c;Perkins;[];Slytherin;muggle;human;;FALSO;FALSO;;VERDADEIRO;[];31-12-1926;1926;green;male;white;VERDADEIRO
fa09ab9d-9e65-4966-9d79-ea7c837348fb;Celestina Warbeck;[];Gryffindor;half-blood;human;;FALSO;FALSO;;VERDADEIRO;[];31-12-1926;1926;green;female;white;VERDADEIRO
3d687c4d-852e-470f-bac5-5a02758b1f8f;Gilderoy Lockhart;['Professor Lockhart'];Gryffindor;half-blood;human;;VERDADEIRO;FALSO;Kenneth Branagh;VERDADEIRO;[];31-12-1926;1926;blue;male;blond;VERDADEIRO
17bd1ab9-19bc-4796-8865-53e75e3b488d;Mundungus Fletcher;['Dung'];Gryffindor;half-blood;human;;FALSO;FALSO;Andy Linden;VERDADEIRO;[];31-12-1926;1954;blue;male;ginger;VERDADEIRO
d74336b1-cee5-4d25-a783-bf61dbb6c19a;Mr Borgin;[];Gryffindor;half-blood;human;;FALSO;FALSO;Edward Tudor-Pole;VERDADEIRO;[];31-12-1926;1954;blue;male;ginger;VERDADEIRO
c9804c5b-943b-4710-8f95-0c3b40141007;Mr Granger;['Wendell Wilkins'];Gryffindor;muggle;human;;FALSO;FALSO;Tom Knight;VERDADEIRO;['Ian Kelly'];31-12-1926;1954;blue;male;ginger;FALSO
