AppID,Name,Release date,Estimated owners,Price,Supported languages,Metacritic score,User score,Achievements,Publishers,Developers,Categories,Genres,Tags
40800,Super Meat Boy,"Nov 30, 2010",3500000,14.99,"['English', 'Russian']",87,0,48,,Team Meat,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Indie,"Precision Platformer,Platformer,Difficult,Indie,2D Platformer,Pixel Graphics,2D,Singleplayer,Great Soundtrack,Fast-Paced,Retro,Controller,Unforgiving,Gore,Action,Time Attack,Funny,Comedy,Side Scroller,Replay Value"
226620,Desktop Dungeons,"Nov 7, 2013",150000,14.99,"['English', 'Simplified Chinese']",82,0,35,QCF Design,QCF Design,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Casual,Indie,RPG,Strategy","Rogue-like,Turn-Based,Puzzle,RPG,Singleplayer,Fantasy,Resource Management,Difficult,Casual,Great Soundtrack,Rogue-lite,Comedy,2D,Addictive,Traditional Roguelike,Dungeon Crawler,Procedural Generation,Top-Down,Replay Value,Funny"
1172470,Apex Legends™,"Nov 4, 2020",35000000,0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']",88,0,12,Electronic Arts,Respawn Entertainment,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases","Action,Adventure,Free to Play","Free to Play,Multiplayer,Battle Royale,Shooter,First-Person,FPS,PvP,Action,Hero Shooter,Team-Based,Tactical,Survival,Character Customization,Sci-fi,Funny,Loot,Lore-Rich,Cyberpunk,Co-op,Cinematic"
404730,Wasteland 2: Director's Cut,"Sep 18, 2014",750000,29.99,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Italian', 'Turkish']",87,0,46,inXile Entertainment,inXile Entertainment,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Steam Cloud","Adventure,Indie,RPG,Strategy",
346940,Shadowrun: Hong Kong - Extended Edition,"Aug 20, 2015",750000,19.99,['English'],81,0,60,Paradox Interactive,Harebrained Schemes,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Includes level editor","Adventure,Indie,RPG,Strategy","RPG,Cyberpunk,Turn-Based,Story Rich,Isometric,Strategy,Indie,Adventure,Turn-Based Tactics,Singleplayer,CRPG,Turn-Based Combat,Sci-fi,Atmospheric,Kickstarter,Great Soundtrack,Tactical,Fantasy,Female Protagonist,Action"
312540,Ys VI: The Ark of Napishtim,"Apr 28, 2015",150000,19.99,['English'],76,0,16,"XSEED Games,Marvelous USA, Inc.",Nihon Falcom,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Adventure,RPG","Action,RPG,Adventure,JRPG,Great Soundtrack,Action RPG,Anime,Singleplayer,Difficult,Fantasy,Classic,Hack and Slash"
270880,American Truck Simulator,"Feb 2, 2016",3500000,19.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Turkish', 'Ukrainian']",76,0,80,SCS Software,SCS Software,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play Together","Indie,Simulation","Automobile Sim,Driving,Transportation,Open World,Simulation,America,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Atmospheric,Management,Multiplayer,Adventure,Singleplayer,Casual,Family Friendly,Level Editor"
219830,King Arthur's Gold,"Nov 5, 2013",750000,0.0,"['English', 'French', 'Russian']",81,0,64,Transhuman Design,Transhuman Design,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Partial Controller Support,Includes level editor","Action,Free to Play,Indie","Multiplayer,2D,Action,Pixel Graphics,Indie,Building,Medieval,Sandbox,Team-Based,Platformer,Competitive,Co-op,Free to Play,Strategy,Fast-Paced,Side Scroller,Singleplayer,Adventure,Funny,Casual"
651670,Star Renegades,"Sep 8, 2020",350000,24.99,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Japanese']",77,0,44,Raw Fury,"Massive Damage, Inc.","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie,RPG,Simulation,Strategy","Rogue-like,Pixel Graphics,Turn-Based,Singleplayer,JRPG,Rogue-lite,Tactical RPG,Mechs,RPG,Strategy RPG,Indie,Conversation,2.5D,Turn-Based Combat,Procedural Generation,Sci-fi,Futuristic,Strategy,Retro,Tactical"
22380,Fallout: New Vegas,"Oct 19, 2010",3500000,9.99,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",84,0,75,Bethesda Softworks,Obsidian Entertainment,"Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet","Action,RPG","Open World,RPG,Post-apocalyptic,Singleplayer,Moddable,Exploration,Story Rich,First-Person,Action,Adventure,Sci-fi,FPS,Western,Atmospheric,Action RPG,Survival,Character Customization,Sandbox,Shooter,Third Person"
710920,Darksiders Genesis,"Dec 5, 2019",750000,29.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",77,0,30,THQ Nordic,Airship Syndicate,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Adventure","Action,Adventure,Hack and Slash,Co-op,Multiplayer,Local Co-Op,Isometric,Action RPG,Top-Down,RPG,Dungeon Crawler,Gore,Loot,Singleplayer,Top-Down Shooter,Great Soundtrack,Split Screen,Fantasy,Twin Stick Shooter,Puzzle"
913740,WORLD OF HORROR,"Feb 20, 2020",350000,14.99,['English'],80,0,0,Ysbryd Games,panstasz,Single-player,"Indie,RPG,Early Access","Early Access,Horror,Survival Horror,Point & Click,Lovecraftian,Rogue-lite,Psychological Horror,Unforgiving,Pixel Graphics,2D,RPG,Survival,Rogue-like,Card Game,Turn-Based Combat,Anime,Atmospheric,Mystery,Moddable,Adventure"
1207650,Suzerain,"Dec 4, 2020",750000,14.99,['English'],81,0,86,Fellow Traveller,Torpor Games,"Single-player,Steam Achievements,Steam Cloud","Adventure,Indie,RPG","Choose Your Own Adventure,Diplomacy,Economy,Historical,Political Sim,Adventure,Management,Story Rich,Multiple Endings,Visual Novel,Interactive Fiction,Immersive Sim,Politics,Difficult,Point & Click,Political,RPG,2D,Text-Based,Alternate History"
21680,Bionic Commando: Rearmed,"Jul 28, 2009",350000,9.99,"['English', 'French', 'Spanish - Spain', 'Italian', 'German;', 'Japanese', 'German']",86,0,0,Capcom,Capcom,"Single-player,Multi-player,Shared/Split Screen,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet,Remote Play Together",Action,"Action,Platformer,Remake,Great Soundtrack,Local Co-Op,Local Multiplayer,2D,Retro,Old School,Co-op,4 Player Local,2.5D,Arcade,Side Scroller,Difficult,Singleplayer"
1530,Multiwinia,"Sep 19, 2008",750000,9.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",76,0,12,Introversion Software,Introversion Software,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements",Indie,"Indie,RTS,Strategy,Multiplayer,Singleplayer,Retro"
353540,Stephen's Sausage Roll,"Apr 17, 2016",75000,29.99,['English'],90,0,0,increpare games,increpare games,"Single-player,Full controller support,Captions available,Steam Cloud",Indie,"Puzzle,Indie,Difficult,Singleplayer,Sokoban,Psychological Horror,Top-Down,Cooking,Pixel Graphics"
527230,For The King,"Apr 19, 2018",1500000,5.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Japanese', 'Korean']",79,0,78,Curve Games,IronOak Games,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Adventure,Indie,RPG,Strategy","Open World,RPG,Strategy,Online Co-Op,Turn-Based,Rogue-like,Multiplayer,Co-op,Adventure,Turn-Based Combat,Tabletop,Rogue-lite,Turn-Based Strategy,Party-Based RPG,Indie,Board Game,Fantasy,Hex Grid,Strategy RPG,Local Co-Op"
94200,Jamestown,"Jun 8, 2011",750000,9.99,['English'],81,0,42,Final Form Games,Final Form Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Stats,Steam Leaderboards,Remote Play Together","Action,Indie","Shoot 'Em Up,Bullet Hell,Local Co-Op,Indie,Arcade,Steampunk,Action,4 Player Local,Local Multiplayer,2D,Difficult,Co-op,Great Soundtrack,Retro,Pixel Graphics,Mars,Alternate History,Shooter,Singleplayer,Sci-fi"
763890,Wildermyth,"Jun 15, 2021",350000,24.99,"['English', 'Simplified Chinese']",87,0,56,"Worldwalker Games LLC,WhisperGames",Worldwalker Games LLC,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play Together","Indie,RPG,Strategy","Party-Based RPG,Story Rich,Choices Matter,Turn-Based Tactics,Character Customization,Procedural Generation,Fantasy,Tactical RPG,Hand-drawn,Turn-Based Strategy,Rogue-lite,Emotional,RPG,Comic Book,Turn-Based,Moddable,Indie,Strategy,Singleplayer,2.5D"
589780,The Red Strings Club,"Jan 22, 2018",350000,14.99,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",80,0,19,Devolver Digital,Deconstructeam,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie","Cyberpunk,Pixel Graphics,Story Rich,Choices Matter,Atmospheric,Great Soundtrack,Indie,Adventure,Point & Click,Singleplayer,Sci-fi,LGBTQ+,2D,Nudity,Visual Novel,Dystopian,Violent,Philosophical,Retro,Puzzle"
1015940,Welcome to Elk,"Sep 17, 2020",10000,14.99,"['English', 'French', 'German', 'Spanish - Spain', 'Danish', 'Portuguese - Brazil', 'Korean']",82,0,25,Triple Topping,Triple Topping,"Single-player,Steam Achievements,Full controller support","Adventure,Indie","Adventure,Indie,2D,Story Rich,Singleplayer,Atmospheric,Hand-drawn,Surreal,Exploration,Stylized,Female Protagonist,Great Soundtrack,Funny,Colorful,Mystery"
204300,Awesomenauts - the 2D moba,"Aug 1, 2012",3500000,0.0,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Dutch', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",78,0,59,Ronimo Games,Ronimo Games,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards,Includes level editor,Remote Play on TV,Remote Play Together","Action,Free to Play,Indie,Strategy","MOBA,Multiplayer,2D,Platformer,Action,Indie,Local Co-Op,Co-op,Great Soundtrack,Strategy,Free to Play,Controller,Local Multiplayer,Sci-fi,Online Co-Op,Competitive,Space,Side Scroller,Cartoon,Funny"
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"Mar 21, 2019",7500000,59.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Thai', 'Traditional Chinese', 'Portuguese - Brazil']",88,0,34,"Activision (Excluding Japan and Asia),FromSoftware (Japan),方块游戏 (Asia)",FromSoftware,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV","Action,Adventure","Souls-like,Difficult,Action,Singleplayer,Ninja,Stealth,Adventure,Third Person,Open World,Story Rich,Atmospheric,Violent,Assassin,Dark Fantasy,Hack and Slash,Great Soundtrack,RPG,Gore,Dark,Rhythm"
1048740,Half Past Fate,"Mar 12, 2020",10000,19.99,['English'],78,0,42,Way Down Deep,Serenity Forge,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Indie,RPG,Simulation","Adventure,RPG,Indie,Simulation,Romance,Pixel Graphics,Female Protagonist,Comedy,Story Rich,Emotional,Great Soundtrack,Funny,Puzzle,LGBTQ+"
251470,TowerFall Ascension,"Mar 11, 2014",350000,14.99,['English'],87,0,30,Matt Makes Games Inc.,"Extremely OK Games, Ltd.","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Indie","Local Multiplayer,Indie,2D Fighter,Action,Local Co-Op,Pixel Graphics,Platformer,4 Player Local,Multiplayer,2D,Co-op,Controller,Arcade,Fighting,Adventure,Retro,Party Game,Great Soundtrack,Difficult,Archery"
204120,LEGO® Harry Potter: Years 5-7,"Jan 5, 2012",350000,19.99,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",80,0,0,Warner Bros. Interactive Entertainment,Traveller's Tales,"Single-player,Multi-player,Shared/Split Screen,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Adventure,"LEGO,Adventure,Magic,Local Co-Op,Family Friendly,Action,Co-op,Fantasy,Split Screen,Comedy,Open World,Funny,Singleplayer,Multiplayer,Controller,Puzzle,Third Person,Local Multiplayer"
462770,Pyre,"Jul 25, 2017",750000,19.99,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese']",82,0,51,Supergiant Games,Supergiant Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Indie,RPG","Indie,RPG,Great Soundtrack,Story Rich,Action,Visual Novel,Sports,Atmospheric,Hand-drawn,Fantasy,Singleplayer,Choices Matter,Colorful,Party-Based RPG,Adventure,Local Multiplayer,Lore-Rich,Multiple Endings,Interactive Fiction,Stylized"
1057090,Ori and the Will of the Wisps,"Mar 10, 2020",3500000,29.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Turkish']",88,0,37,Xbox Game Studios,Moon Studios GmbH,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Action,"Beautiful,Metroidvania,Great Soundtrack,Platformer,Action,Singleplayer,Adventure,Atmospheric,Story Rich,Cute,Exploration,Action-Adventure,Puzzle,Emotional,Difficult,Fantasy,Indie,Open World,2D,Souls-like"
214970,Intrusion 2,"Sep 11, 2012",350000,9.99,"['English', 'Russian']",80,0,14,Aleksey Abramenko,Aleksey Abramenko,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Action,Indie","Action,Indie,Platformer,2D,Physics,Shooter,Sci-fi,Singleplayer,Side Scroller,Difficult,Great Soundtrack,Shoot 'Em Up,Mechs,Robots"
1286830,STAR WARS™: The Old Republic™,"Jul 21, 2020",7500000,0.0,"['English', 'French', 'German']",85,0,191,Electronic Arts,BioWare,"Multi-player,MMO,PvP,Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Free to Play,Massively Multiplayer,RPG","Free to Play,Multiplayer,Character Customization,MMORPG,Open World,RPG,Story Rich,Massively Multiplayer,Sci-fi,Choices Matter,Adventure,Action,Space,Third Person,PvP,Atmospheric,Action RPG,Party-Based RPG,Great Soundtrack,CRPG"
1356670,Sakuna: Of Rice and Ruin,"Nov 10, 2020",150000,29.99,"['English', 'Japanese', 'Korean', 'Traditional Chinese', 'Simplified Chinese', 'Spanish - Latin America']",82,0,40,"XSEED Games,Marvelous USA, Inc.",Edelweiss,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Tablet","Action,Indie","Action,Farming Sim,Story Rich,Female Protagonist,Side Scroller,Mythology,Platformer,Crafting,Agriculture,Simulation,Demons,Beat 'em up,Difficult,Combat,Third Person,Colorful,Cats,Singleplayer,Dog,Anime"
312560,Xanadu Next,"Nov 3, 2016",35000,14.99,['English'],78,0,15,"XSEED Games,Marvelous USA, Inc.",Nihon Falcom,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,RPG","RPG,Action,Action RPG,Great Soundtrack,JRPG,Dungeon Crawler,Singleplayer,Anime,Isometric,Atmospheric"
581320,Insurgency: Sandstorm,"Dec 12, 2018",3500000,14.99,"['English', 'French', 'Italian', 'German', 'Simplified Chinese', 'Russian', 'Spanish - Latin America', 'Spanish - Spain', 'Traditional Chinese', 'Korean', 'Danish', 'Finnish', 'Hungarian', 'Japanese', 'Norwegian', 'Dutch', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Swedish', 'Czech', 'Thai', 'Turkish']",78,0,35,Focus Entertainment,New World Interactive,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats",Action,"FPS,Realistic,Shooter,Military,Multiplayer,Tactical,Action,First-Person,Online Co-Op,War,Co-op,Violent,Gore,Atmospheric,Difficult,Simulation,Open World,Massively Multiplayer,Indie,Choices Matter"
272620,Serious Sam's Bogus Detour,"Jun 20, 2017",75000,9.99,"['English', 'Russian', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",76,0,37,Devolver Digital,"Crackshell,Croteam","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Remote Play Together","Action,Indie","Action,Indie,Pixel Graphics,Top-Down Shooter,Gore,Co-op,Multiplayer,2D,Violent,Twin Stick Shooter,Bullet Hell,Shooter,Singleplayer"
17470,Dead Space,"Jan 9, 2009",1500000,19.99,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",86,0,0,Electronic Arts,EA Redwood Shores,"Single-player,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure","Horror,Sci-fi,Action,Space,Third Person,Survival Horror,Atmospheric,Singleplayer,Third-Person Shooter,Gore,Shooter,Aliens,Dark,Futuristic,Story Rich,Silent Protagonist,Adventure,Survival,Zombies,Immersive"
23490,Tropico 3,"Oct 20, 2009",1500000,9.99,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",79,0,0,Kalypso Media Digital,Haemimont Games,Single-player,"Simulation,Strategy","Simulation,Strategy,City Builder,Management,Politics,Sandbox,Singleplayer,Economy,Satire,Comedy,Funny,Great Soundtrack,Cold War,Political Sim,Atmospheric,Multiplayer,Open World,Classic"
542050,Forgotton Anne,"May 15, 2018",150000,19.99,"['English', 'French', 'German', 'Italian', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Spanish - Spain', 'Polish', 'Korean', 'Japanese', 'Romanian', 'Ukrainian']",76,0,33,ThroughLine Games,ThroughLine Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Action,Adventure,Casual,Indie","Story Rich,Atmospheric,Female Protagonist,Hand-drawn,Emotional,Steampunk,Choices Matter,2D Platformer,Cinematic,Fantasy,Soundtrack,Singleplayer,Cartoony,Stylized,Anime,2D,Puzzle,Platformer,Action,Indie"
394970,DEADBOLT,"Mar 14, 2016",350000,9.99,['English'],76,0,24,Hopoo Games,Hopoo Games,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Action,Indie","Pixel Graphics,Stealth,Great Soundtrack,Indie,Action,2D,Difficult,Gore,Singleplayer,Side Scroller,Shooter,Blood,Atmospheric,Violent,Zombies,Strategy,Vampire,Dark,Platformer,Horror"
